# TRAN_FACTOR_NAME_RDB	TF_SYNS_RDB	FINAL_STATE_RDB	CON_SYNS_RDB	CONFORMATION_TYPE_RDB	INTERACTION_TYPE_RDB	APO_HOLO_CONFOR_RDB	EFFECTOR_NAME_RDB	EFFECTOR_TYPE_RDB	EFF_SYNS_RDB		TRANSC_FACTOR_NAME_ECO	TF_SYNS_ECO	FINAL_STATE_ECO	CON_SYNS_ECO	CONFORMATION_TYPE_ECO	INTERACTION_TYPE_ECO	APO_HOLO_ECO	EFFECTOR_NAME_ECO	EFFECTOR_TYPE_ECO	EFF_SYNS_ECO
Lrp	AlsB,DNA-binding transcriptional dual regulator Lrp,Ihb,LivR,Lrs,Lss,LstR,Mbf,OppI,RblA	Lrp-leucine	AlsB,B0889,Ihb,LivR,Lrp,Lrp-leu,Lrs,Lss,LstR,Mbf,OppI,RblA	Active	Allosteric	Holo	L-leucine	positive	"(2S)-&alpha;-2-amino-4-methylvaleric acid,(2S)-&alpha;-leucine,2-amino-4-methylvaleric acid,L,L-leu,leu,leucine"		DNA-binding transcriptional dual regulator Lrp	LstR||Mbf||OppI||RblA||Lss||Lrs||Ihb||Lrp||LivR||AlsB	Lrp-Leucine DNA-binding transcriptional dual regulator	Lss||Lrs||LivR||Ihb||AlsB||B0889||LstR||Mbf||OppI||RblA||Lrp||Lrp-leu	Active	None	None	L-leucine	None	"(2S)-&alpha;-2-amino-4-methylvaleric acid||L||leucine||2-amino-4-methylvaleric acid||(2S)-&alpha;-leucine||L-leu"
LsrR	DNA-binding transcriptional repressor LsrR,YdeW	LsrR-(2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate		Inactive	Allosteric	Holo	(2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate	negative	(4S)-4-hydroxy-2,3-pentanedione 5-phosphate,(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione		DNA-binding transcriptional repressor LsrR	YdeW||LsrR	LsrR-P-DPD		Inactive	None	None	(2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate	None	(4S)-4-hydroxy-2,3-pentanedione 5-phosphate||(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione
LsrR	DNA-binding transcriptional repressor LsrR,YdeW	LsrR-(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran		Inactive		Holo	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran		(<i>R</i>)-THMF,AI-2 (salmonella),autoinducer 2 (salmonella)		DNA-binding transcriptional repressor LsrR	YdeW||LsrR	LsrR-AI-2		Inactive	None	None	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran	None	(<i>R</i>)-THMF||AI-2 (salmonella)||autoinducer 2 (salmonella)
LsrR	DNA-binding transcriptional repressor LsrR,YdeW	LsrR-autoinducer 2		Inactive	Allosteric	Holo	autoinducer 2	negative	(4<i>S</i>)-4,5-dihydroxy-2,3-pentanedione,(4<i>S</i>)-4,5-dihydroxypentane-2,3-dione,AI-2		DNA-binding transcriptional repressor LsrR	YdeW||LsrR	LsrR-DHPD		Inactive	None	None	autoinducer 2	None	(4<i>S</i>)-4,5-dihydroxy-2,3-pentanedione||(4<i>S</i>)-4,5-dihydroxypentane-2,3-dione
MalT	DNA-binding transcriptional activator MalT,MalA	MalT-maltotriose-ATP	B3418,MalA,MalT,MalT-maltotriose-ATP	Active	Allosteric	Holo	ATP	positive	adenosine-5'-triphosphate,adenosine-triphosphate,adenylpyrophosphate		DNA-binding transcriptional activator MalT	MalA||MalT	MalT-Maltotriose-ATP DNA-binding transcriptional activator	MalA||B3418||MalT||MalT-maltotriose-ATP	Active	None	None	ATP	None	adenylpyrophosphate||adenosine-triphosphate||adenosine-5'-triphosphate
MalT	DNA-binding transcriptional activator MalT,MalA	MalT-maltotriose-ATP	B3418,MalA,MalT,MalT-maltotriose-ATP	Active	Allosteric	Holo	maltotriose	positive	"&alpha;-D-glucopyranosyl-(1&rarr;4)-&alpha;-D-glucopyranosyl-(1&rarr;4)-D-glucose,amylotriose"		DNA-binding transcriptional activator MalT	MalA||MalT	MalT-Maltotriose-ATP DNA-binding transcriptional activator	MalA||B3418||MalT||MalT-maltotriose-ATP	Active	None	None	maltotriose	None	"amylotriose||&alpha;-D-glucopyranosyl-(1&rarr;4)-&alpha;-D-glucopyranosyl-(1&rarr;4)-D-glucose"
MarR	CfxB,DNA-binding transcriptional repressor MarR,InaR,SoxQ	MarR-salicylate	B1530,CfxB,InaR,MarR,SoxQ	Inactive	Allosteric	Holo	salicylate	negative	2-HBA,2-hydroxybenzoate,2-hydroxybenzoic acid,SA,o-hydroxybenzoate,o-hydroxybenzoic acid,salicylic acid		DNA-binding transcriptional repressor MarR	SoxQ||InaR||CfxB||MarR	MarR-salicylate	B1530||SoxQ||InaR||CfxB||MarR	Inactive	None	None	salicylate	None	salicylic acid||o-hydroxybenzoic acid||2-hydroxybenzoic acid||SA||2-HBA||2-hydroxybenzoate||o-hydroxybenzoate
MelR	DNA-binding transcriptional dual regulator MelR	MelR-melibiose	B4118,MelR,MelR-melibiose	Active	Allosteric	Holo	melibiose	positive	"&alpha;-D-Galp-(1->6)-D-Glc,6-(&alpha;-D-galactosido)-D-glucose,6-O-&alpha;-D-galactopyranosyl-D-glucose,6-O-(&alpha;-D-galactopyranosyl)-D-glucopyranose,D-Gal-&alpha;(1->6)-D-glucose,D-melibiose"		DNA-binding transcriptional dual regulator MelR	MelR	MelR-Melibiose transcriptional activator	B4118||MelR||MelR-melibiose	Active	None	None	melibiose	None	"6-O-(&alpha;-D-galactopyranosyl)-D-glucopyranose||D-Gal-&alpha;(1->6)-D-glucose||D-melibiose||6-O-&alpha;-D-galactopyranosyl-D-glucose||6-(&alpha;-D-galactosido)-D-glucose||&alpha;-D-Galp-(1->6)-D-Glc"
MetJ	B3938,MetJ,MetJ-SAM	MetJ-S-adenosylmethionine	MetJ-S-adenosylmethionine	Active	Allosteric	Holo	<i>S</i>-adenosyl-L-methionine	positive	(<i>S</i>)-S-adenosyl-L-methionine,2-<i>S</i>-adenosyl-L-methionine,<i>S</i>-adenosyl-methionine,<i>S</i>-adenosylmethionine,AdoMet,SAM,adenosylmethionine		DNA-binding transcriptional repressor MetJ	MetJ	MetJ-S-adenosylmethionine DNA-binding transcriptional repressor		Active	None	None	<i>S</i>-adenosyl-L-methionine	None	(<i>S</i>)-S-adenosyl-L-methionine||AdoMet||SAM||2-<i>S</i>-adenosyl-L-methionine||<i>S</i>-adenosyl-methionine||adenosylmethionine||<i>S</i>-adenosylmethionine
MetR	DNA-binding transcriptional dual regulator MetR	MetR-L-homocysteine		Active	Allosteric	Holo	L-homocysteine	positive	homo-cys,homocysteine		DNA-binding transcriptional dual regulator MetR	MetR	MetR-L-homocysteine		Active	None	None	L-homocysteine	None	homo-cys||homocysteine
MhpR	DNA-binding transcriptional activator MhpR	MhpR-3HPP	B0346,MhpR	Active	Allosteric	Holo	3-(3-hydroxyphenyl)propanoate	positive	3-(3-hydroxyphenyl)propanoic acid,3-(3-hydroxyphenyl)propionate,3-(3-hydroxyphenyl)propionic acid,3HPP,MHP,dihydro-3-coumarate,m-hydroxyphenylpropionate,m-hydroxyphenylpropionic acid		DNA-binding transcriptional activator MhpR	MhpR	MhpR-3HPP DNA-binding transcriptional activator	B0346||MhpR	Active	None	None	3-(3-hydroxyphenyl)propanoate	None	3-(3-hydroxyphenyl)propanoic acid||dihydro-3-coumarate||3-(3-hydroxyphenyl)propionic acid||m-hydroxyphenylpropionic acid||m-hydroxyphenylpropionate||MHP||3HPP||3-(3-hydroxyphenyl)propionate
MntR	MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator	MntR-Mn<SUP>2+</SUP>		Active	Allosteric	Holo	Mn<SUP>2+</SUP>		Mn(II) (incorrect),Mn<SUP>++</SUP>,Mn<sup>II</sup>,manganese(II)		DNA-binding transcriptional dual regulator MntR	MntR||YbiQ	MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator		Active	None	None	Mn<SUP>2+</SUP>	None	Mn(II) (incorrect)||Mn<SUP>++</SUP>||manganese(II)||Mn<sup>II</sup>
ModE	ChlD,DNA-binding transcriptional dual regulator ModE,ModE-MoO<sub>4</sub><sup>2-</sup>,ModR	ModE-MoO<sub>4</sub><sup>2-</sup>	ModE	Active	Allosteric	Holo	molybdate	positive	MoO<sub>4</sub><sup>-2</sup>,MoO<sub>4</sub><sup>2-</sup>,molybdate ion		DNA-binding transcriptional dual regulator ModE	ModR||ChlD||ModE-MoO<sub>4</sub><sup>2-</sup>||ModE	ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator	ModE	Active	None	None	molybdate	None	MoO<sub>4</sub><sup>2-</sup>||molybdate ion||MoO<sub>4</sub><sup>-2</sup>
MprA	DNA-binding transcriptional repressor MprA,EmrR	MprA-2,4-dinitrophenol		Inactive	Allosteric	Holo	2,4-dinitrophenol	negative	"&alpha;-dinitrophenol,1-hydroxy-2,4-dinitrobenzene,2,4-DNP"		DNA-binding transcriptional repressor MprA	MprA||EmrR	MprA-2,4-dinitrophenol		Inactive	None	None	2,4-dinitrophenol	None	"1-hydroxy-2,4-dinitrobenzene||2,4-DNP||&alpha;-dinitrophenol"
MprA	DNA-binding transcriptional repressor MprA,EmrR	MprA-CCCP		Inactive	Allosteric	Holo	carbonylcyanide <i>m</i>-chlorophenylhydrazone	negative	(3-chlorophenyl)hydrazonomalononitrile,CCCP,Carbonylcyanide-3-chlorophenylhydrazone		DNA-binding transcriptional repressor MprA	MprA||EmrR	MprA-CCCP		Inactive	None	None	carbonylcyanide <i>m</i>-chlorophenylhydrazone	None	CCCP||(3-chlorophenyl)hydrazonomalononitrile||Carbonylcyanide-3-chlorophenylhydrazone
MurR	DNA-binding transcriptional dual regulator MurR,YfeT	MurR-MurNAc-6-P		Inactive	Allosteric	Holo	<i>N</i>-acetyl-D-muramate 6-phosphate	negative	MurNAc-6-P		DNA-binding transcriptional dual regulator MurR	YfeT||MurR	MurR-MurNAc-6-P		Inactive	None	None	<i>N</i>-acetyl-D-muramate 6-phosphate	None	MurNAc-6-P
NagC	DNA-binding transcriptional dual regulator NagC,NagR,transcriptional repressor of nag (N-acetylglucosamine) operon	NagC-<i>N</i>-acetyl-D-glucosamine 6-phosphate	B0676,NagC,NagR	Inactive	Allosteric	Holo	<i>N</i>-acetyl-D-glucosamine 6-phosphate	negative	<i>N</i>-acetyl-D-glucosamine-6-P,<i>N</i>-acetyl-glucosamine 6-phosphate,<i>N</i>-acetyl-glucosamine-6-P,<i>N</i>-acetylglucosamine-6-P,GlcNAc-6-P		DNA-binding transcriptional dual regulator NagC	NagR||NagC||transcriptional repressor of nag (N-acetylglucosamine) operon	NagC-NAcGlc-6-P	NagR||B0676||NagC	Inactive	None	None	<i>N</i>-acetyl-D-glucosamine 6-phosphate	None	<i>N</i>-acetylglucosamine-6-P||GlcNAc-6-P||<i>N</i>-acetyl-D-glucosamine-6-P||<i>N</i>-acetyl-glucosamine 6-phosphate||<i>N</i>-acetyl-glucosamine-6-P
NanR	DNA-binding transcriptional dual regulator NanR,YhcK	NanR-NANA	B3226,NanR,YhcK	Inactive	Allosteric	Holo	<i>N</i>-acetylneuraminate	negative	5-acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid,5-acetamido-3,5-dideoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid,<i>N</i>-acetylneuraminic acid,NANA,Neu5Ac,O-sialic acid,sialate,sialic acid		DNA-binding transcriptional dual regulator NanR	YhcK||NanR	NanR-NANA	B3226||YhcK||NanR	Inactive	None	None	<i>N</i>-acetylneuraminate	None	sialic acid||NANA||O-sialic acid||sialate||<i>N</i>-acetylneuraminic acid||Neu5Ac||5-acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid||5-acetamido-3,5-dideoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid
NemR	DNA-binding transcriptional repressor NemR,YdhM	NemR-methylglyoxal		Inactive		Holo	methylglyoxal		2-oxopropanal,acetylformaldehyde,pyruvaldehyde,pyruvic aldehyde		DNA-binding transcriptional repressor NemR	YdhM||NemR	NemR-methylglyoxal		Inactive	None	None	methylglyoxal	None	2-oxopropanal||acetylformaldehyde||pyruvic aldehyde||pyruvaldehyde
NfeR	DNA-binding transcriptional repressor NfeR,YqjI	NfeR-Ni<SUP>2+</SUP>	YqjI-nickel	Inactive	Allosteric	Holo	Ni<SUP>2+</SUP>	negative	Ni<SUP>++</SUP>,Ni<sup>II</sup>,nickel(II)		DNA-binding transcriptional repressor NfeR	NfeR||YqjI	NfeR-nickel	YqjI-nickel	Inactive	None	None	Ni<SUP>2+</SUP>	None	nickel(II)||Ni<SUP>++</SUP>||Ni<sup>II</sup>
NhaR	AntO,DNA-binding transcriptional activator NhaR,YaaB	NhaR-Na<SUP>+</SUP>	AntO,B0020,NhaR,NhaR-Na<SUP>+</SUP>,YaaB	Active	Allosteric	Holo	Na<SUP>+</SUP>	positive	Na<sup>I</sup>,sodium(I)		DNA-binding transcriptional activator NhaR	YaaB||AntO||NhaR	NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator	YaaB||AntO||B0020||NhaR||NhaR-Na<SUP>+</SUP>	Active	None	None	Na<SUP>+</SUP>	None	sodium(I)||Na<sup>I</sup>
NikR	B3481,NikR,NikR-Ni transcriptional repressor,YhhG	NikR-Ni<SUP>2+</SUP>	B3481,NikR,NikR-Ni,YhhG	Active	Allosteric	Holo	Ni<SUP>2+</SUP>	negative	Ni<SUP>++</SUP>,Ni<sup>II</sup>,nickel(II)		DNA-binding transcriptional repressor NikR	YhhG||NikR	NikR-Ni DNA-binding transcriptional repressor		Active	None	None	Ni<SUP>2+</SUP>	None	nickel(II)||Ni<SUP>++</SUP>||Ni<sup>II</sup>
NrdR	NrdR transcriptional repressor,YbaD	NrdR-Zn<SUP>2+</SUP>		Active	Allosteric	Holo	Zn<SUP>2+</SUP>	positive	Zn(II) (incorrect),Zn<sup>II</sup>,zinc(II)		NrdR transcriptional repressor	YbaD||NrdR	NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor		Active	None	None	Zn<SUP>2+</SUP>	None	zinc(II)||Zn(II) (incorrect)||Zn<sup>II</sup>
NsrR	DNA-binding transcriptional repressor NsrR,YjeB	NsrR-nitric oxide		Inactive		Holo	nitric oxide		NO,nitrogen monoxide,nitrogen protoxide		DNA-binding transcriptional repressor NsrR	YjeB||NsrR	NsrR-nitric oxide		Inactive	None	None	nitric oxide	None	NO||nitrogen monoxide||nitrogen protoxide
PaaX	DNA-binding transcriptional repressor PaaX,YdbY	PaaX-phenylacetyl-CoA		Inactive		Holo	phenylacetyl-CoA		phenylacetate-CoA		DNA-binding transcriptional repressor PaaX	YdbY||PaaX	PaaX-phenylacetyl-CoA		Inactive	None	None	phenylacetyl-CoA	None	phenylacetate-CoA
PdhR	AceC,DNA-binding transcriptional dual regulator PdhR,GenA,YacB	PdhR-pyruvate	B0113,GenA,PdhR,YacB	Inactive	Allosteric	Holo	pyruvate	negative	"&alpha;-ketopropionic acid,2-oxo-propionic acid,2-oxopropanoate,2-oxopropanoic acid,BTS,acetylformic acid,alpha-ketopropionic acid,pyroracemic acid,pyruvic acid"		DNA-binding transcriptional dual regulator PdhR	YacB||GenA||PdhR||AceC	PdhR-pyruvate	B0113||YacB||GenA||PdhR	Inactive	None	None	pyruvate	None	"alpha-ketopropionic acid||BTS||&alpha;-ketopropionic acid||acetylformic acid||pyroracemic acid||2-oxopropanoic acid||pyruvic acid||2-oxopropanoate||2-oxo-propionic acid"
PrpR	DNA-binding transcriptional dual regulator PrpR,YahP	PrpR-(2<i>S</i>,3<i>S</i>)-2-methylcitrate	B0330,PrpR,YahP	Active	Allosteric	Holo	(2<i>S</i>,3<i>S</i>)-2-methylcitrate	positive	(2<i>S</i>,3<i>S</i>)-2-hydroxybutane-1,2,3-tricarboxylate		DNA-binding transcriptional dual regulator PrpR	YahP||PrpR	PrpR-2-methylcitrate DNA-binding transcriptional dual regulator	B0330||YahP||PrpR	Active	None	None	(2<i>S</i>,3<i>S</i>)-2-methylcitrate	None	(2<i>S</i>,3<i>S</i>)-2-hydroxybutane-1,2,3-tricarboxylate
PurR	DNA-binding transcriptional repressor PurR	PurR-hypoxanthine	PurR-hypoxanthine	Active	Allosteric	Holo	hypoxanthine	positive			DNA-binding transcriptional repressor PurR	PurR	PurR-Hypoxanthine DNA-binding transcriptional repressor	PurR-hypoxanthine	Active	None	None	hypoxanthine	None	
PuuR	DNA-binding transcriptional repressor PuuR,YcjC	PuuR-putrescine		Inactive		Holo	putrescine		1,4-butanediamine,1,4-diaminobutane,diaminobutane,tetramethylenediamine		DNA-binding transcriptional repressor PuuR	YcjC||PuuR	PuuR-putrescine		Inactive	None	None	putrescine	None	diaminobutane||1,4-diaminobutane||1,4-butanediamine||tetramethylenediamine
PyrR	DNA-binding transcriptional activator PyrR,YpdB	PyrR-BTS		Active		Holo	pyruvate	negative	"&alpha;-ketopropionic acid,2-oxo-propionic acid,2-oxopropanoate,2-oxopropanoic acid,BTS,acetylformic acid,alpha-ketopropionic acid,pyroracemic acid,pyruvic acid"		DNA-binding transcriptional activator PyrR	YpdB	PyrR-BTS		Active	None	None	pyruvate	None	"alpha-ketopropionic acid||BTS||&alpha;-ketopropionic acid||acetylformic acid||pyroracemic acid||2-oxopropanoic acid||pyruvic acid||2-oxopropanoate||2-oxo-propionic acid"
RbsR	DNA-binding transcriptional dual regulator RbsR,regulator for rbs operon	RbsR-D-ribose	B3753,RbsR	Active	Allosteric	Holo	D-ribose	negative	ribose		DNA-binding transcriptional dual regulator RbsR	RbsR||regulator for rbs operon	RbsR-D-ribose	B3753||RbsR	Active	None	None	D-ribose	None	ribose
RcnR	DNA-binding transcriptional repressor RcnR,YohL	RcnR-Co<SUP>2+</SUP>		Inactive	Allosteric	Holo	Co<SUP>2+</SUP>	negative	Co<SUP>++</SUP>,Co<sup>II</sup>,cobalt(II)		DNA-binding transcriptional repressor RcnR	YohL||RcnR	RcnR-Co<SUP>2+</SUP>		Inactive	None	None	Co<SUP>2+</SUP>	None	Co<SUP>++</SUP>||cobalt(II)||Co<sup>II</sup>
RcnR	DNA-binding transcriptional repressor RcnR,YohL	RcnR-Ni<SUP>2+</SUP>		Inactive	Allosteric	Holo	Ni<SUP>2+</SUP>	negative	Ni<SUP>++</SUP>,Ni<sup>II</sup>,nickel(II)		DNA-binding transcriptional repressor RcnR	YohL||RcnR	RcnR-nickel		Inactive	None	None	Ni<SUP>2+</SUP>	None	nickel(II)||Ni<SUP>++</SUP>||Ni<sup>II</sup>
RhaR	DNA-binding transcriptional activator RhaR	RhaR-L-rhamnose	B3906,RhaR,RhaR-rhamnose	Active		Holo	L-rhamnose		6-deoxy-L-mannose,L-mannomethylose		DNA-binding transcriptional activator RhaR	RhaR	RhaR-L-rhamnose DNA-binding transcriptional activator	B3906||RhaR||RhaR-rhamnose	Active	None	None	L-rhamnose	None	6-deoxy-L-mannose||L-mannomethylose
RhaS	DNA-binding transcriptional activator RhaS	RhaS-L-rhamnose	RhaS-rhamnose	Active		Holo	L-rhamnose		6-deoxy-L-mannose,L-mannomethylose		DNA-binding transcriptional activator RhaS	RhaS	RhaS-L-rhamnose DNA-binding transcriptional activator	RhaS-rhamnose	Active	None	None	L-rhamnose	None	6-deoxy-L-mannose||L-mannomethylose
RutR	DNA-binding transcriptional dual regulator RutR,YcdC	RutR-thymine		Inactive	Allosteric	Holo	thymine	negative	5-methyl-2,4(1H,3H)-pyrimidinedione,5-methyluracil,T		DNA-binding transcriptional dual regulator RutR	YcdC||RutR	RutR-thymine		Inactive	None	None	thymine	None	5-methyluracil||5-methyl-2,4(1H,3H)-pyrimidinedione||T
RutR	DNA-binding transcriptional dual regulator RutR,YcdC	RutR-uracil		Inactive	Allosteric	Holo	uracil	negative	2,4-(1H,3H)-pyrimidinedione,U		DNA-binding transcriptional dual regulator RutR	YcdC||RutR	RutR-uracil		Inactive	None	None	uracil	None	U
TreR	DNA-binding transcriptional repressor TreR	"TreR-&alpha;,&alpha;-trehalose 6-phosphate"		Inactive	Allosteric	Holo	D-trehalose 6-phosphate		trehalose 6-phosphate,trehalose phosphate		DNA-binding transcriptional repressor TreR	TreR	TreR-trehalose 6-phosphate		Inactive	None	None	D-trehalose 6-phosphate	None	trehalose phosphate||trehalose 6-phosphate
TrpR	DNA-binding transcriptional repressor TrpR,RtrY	TrpR-tryptophan	TrpR-trp	Active	Allosteric	Holo	L-tryptophan	positive	2-amino-3-indolylpropanic acid,L-trp,W,trofan,trp,tryptacin,tryptophan		DNA-binding transcriptional repressor TrpR	RtrY||TrpR	TrpR-Tryptophan DNA-binding transcriptional repressor	TrpR-trp	Active	None	None	L-tryptophan	None	W||tryptacin||trofan||tryptophan||2-amino-3-indolylpropanic acid||L-trp
TyrR	DNA-binding transcriptional dual regulator TyrR	TyrR-phenylalanine	B1323,TyrR,TyrR-phe	Active	Allosteric	Holo	L-phenylalanine	positive	"2S-&alpha;-phenylalanine,F,L-phe,endophenyl,phe,phenylalanine"		DNA-binding transcriptional dual regulator TyrR	TyrR	TyrR-Phenylalanine DNA-binding transcriptional repressor	B1323||TyrR||TyrR-phe	Active	None	None	L-phenylalanine	None	"2S-&alpha;-phenylalanine||F||endophenyl||phenylalanine||L-phe"
TyrR	DNA-binding transcriptional dual regulator TyrR	TyrR-tyrosine	B1323,TyrR,TyrR-tyr	Active	Allosteric	Holo	L-tyrosine	positive	L-tyr,Y,tyr,tyrosine		DNA-binding transcriptional dual regulator TyrR	TyrR	TyrR-Tyrosine DNA-binding transcriptional repressor	B1323||TyrR||TyrR-tyr	Active	None	None	L-tyrosine	None	Y||tyrosine||L-tyr
UlaR	DNA-binding transcriptional repressor UlaR,YjfQ	UlaR-L-ascorbate 6-phosphate	B4191,UlaR,YjfQ	Inactive		Holo	L-ascorbate 6-phosphate				DNA-binding transcriptional repressor UlaR	UlaR||YjfQ	UlaR-L-ascorbate-6P	YjfQ||B4191||UlaR	Inactive	None	None	L-ascorbate 6-phosphate	None	
UxuR	DNA-binding transcriptional repressor UxuR	"UxuR-&alpha;-D-glucuronate-&alpha;-D-galacturonate"		Inactive		Holo	"&alpha;-D-galacturonate"		"&alpha;-D-galacturonic acid"		DNA-binding transcriptional repressor UxuR	UxuR	"UxuR-&alpha;-D-galacturonate,&alpha;-D-glucuronate"		Inactive	None	None	"&alpha;-D-galacturonate"	None	"&alpha;-D-galacturonic acid"
UxuR	DNA-binding transcriptional repressor UxuR	"UxuR-&alpha;-D-glucuronate-&alpha;-D-galacturonate"		Inactive		Holo	"&alpha;-D-glucuronate"		"&alpha;-D-glucopyranuronic acid,&alpha;-D-glucuronic acid"		DNA-binding transcriptional repressor UxuR	UxuR	"UxuR-&alpha;-D-galacturonate,&alpha;-D-glucuronate"		Inactive	None	None	"&alpha;-D-glucuronate"	None	"&alpha;-D-glucuronic acid||&alpha;-D-glucopyranuronic acid"
UxuR	DNA-binding transcriptional repressor UxuR	UxuR-D-fructuronate	B4324,UxuR	Inactive	Allosteric	Holo	D-fructuronate	negative			DNA-binding transcriptional repressor UxuR	UxuR	UxuR-fructuronate	B4324||UxuR	Inactive	None	None	D-fructuronate	None	
XapR	DNA-binding transcriptional activator XapR,PndR,YfeB	XapR-xanthosine		Active	Allosteric	Holo	xanthosine	positive	"9 &beta;-D-ribofuranosylxanthine"		DNA-binding transcriptional activator XapR	YfeB||PndR||XapR	XapR-xanthosine DNA-binding transcriptional activator		Active	None	None	xanthosine	None	"9 &beta;-D-ribofuranosylxanthine"
XylR	DNA-binding transcriptional dual regulator XylR	XylR-xylose	B3569,XylR,XylR-xylose	Active	Allosteric	Holo	"&alpha;-D-xylopyranose"	positive	"&alpha;-D-xylose,D-xylose,wood sugar,xylose"		DNA-binding transcriptional dual regulator XylR	XylR	XylR-Xylose DNA-binding transcriptional dual regulator	B3569||XylR||XylR-xylose	Active	None	None	"&alpha;-D-xylopyranose"	None	"&alpha;-D-xylose||xylose||D-xylose||wood sugar"
XynR	"CP4-6 prophage; DNA-binding transcriptional repressor XynR,YagI"	XynR-D-xylonate		Active		Holo	D-xylonate				"CP4-6 prophage; DNA-binding transcriptional repressor XynR"	XynR||YagI	XynR-D-xylonate		Active	None	None	D-xylonate	None	
YebK	DNA-binding transcriptional repressor YebK	YebK-2-dehydro-3-deoxy-D-gluconate 6-phosphate		Inactive		Holo	2-dehydro-3-deoxy-D-gluconate 6-phosphate		2-dehydro-3-deoxy-6-phospho-D-gluconate,2-keto-3-deoxy-6-P-gluconate,2-keto-3-deoxy-6-phospho-D-gluconate,2-keto-3-deoxy-6-phospho-gluconate,2-keto-3-deoxy-6-phosphogluconate,2-keto-3-deoxygluconate-6-P,3-deoxy-D-<i>erythro</i>-hex-2-ulosonate-6-phosphate,3-deoxy-D-<i>erythro</i>-hex-2-ulosonic acid 6-phosphate,6-p-2-k-3-deo-gluconate,6-phospho-2-dehydro-3-deoxy-D-gluconate,6-phospho-2-dehydro-3-deoxygluconate,6-phospho-2-keto-3-deoxygluconate,KDGP,KDPG		DNA-binding transcriptional repressor YebK	YebK	YebK-2-dehydro-3-deoxy-D-gluconate 6-phosphate		Inactive	None	None	2-dehydro-3-deoxy-D-gluconate 6-phosphate	None	2-keto-3-deoxy-6-phospho-D-gluconate||2-dehydro-3-deoxy-6-phospho-D-gluconate||2-keto-3-deoxy-6-phospho-gluconate||6-phospho-2-dehydro-3-deoxy-D-gluconate||2-keto-3-deoxy-6-phosphogluconate||2-keto-3-deoxy-6-P-gluconate||6-p-2-k-3-deo-gluconate||6-phospho-2-keto-3-deoxygluconate||6-phospho-2-dehydro-3-deoxygluconate||2-keto-3-deoxygluconate-6-P||3-deoxy-D-<i>erythro</i>-hex-2-ulosonic acid 6-phosphate||3-deoxy-D-<i>erythro</i>-hex-2-ulosonate-6-phosphate||KDPG
ZntR	ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator	ZntR-Zn<SUP>2+</SUP>	ZntR-Zn	Active	Allosteric	Holo	Zn<SUP>2+</SUP>	positive	Zn(II) (incorrect),Zn<sup>II</sup>,zinc(II)		DNA-binding transcriptional activator ZntR	YhdM||ZntR	ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator		Active	None	None	Zn<SUP>2+</SUP>	None	zinc(II)||Zn(II) (incorrect)||Zn<sup>II</sup>
Zur	DNA-binding transcriptional repressor Zur,YjbK,ZnuR	Zur-Zn<SUP>2+</SUP>		Active	Allosteric	Holo	Zn<SUP>2+</SUP>	positive	Zn(II) (incorrect),Zn<sup>II</sup>,zinc(II)		DNA-binding transcriptional repressor Zur	ZnuR||YjbK||Zur	Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor		Active	None	None	Zn<SUP>2+</SUP>	None	zinc(II)||Zn(II) (incorrect)||Zn<sup>II</sup>
AcrR	DNA-binding transcriptional repressor AcrR,YbaH	AcrR-Proflavin		Inactive	Allosteric	Holo	Proflavin	negative												
AcrR	DNA-binding transcriptional repressor AcrR,YbaH	AcrR-R6G		Inactive	Allosteric	Holo	R6G	negative												
Ada	DNA-binding transcriptional dual regulator / DNA repair protein Ada	Ada-Methylated		Active	Covalent	Holo	Methyl	positive												
AraC	DNA-binding transcriptional dual regulator AraC	AraC-D-fucose		Inactive	Allosteric	Holo	D-fucose	negative												
Cbl	DNA-binding transcriptional activator Cbl	Cbl-Thiosulphate		Inactive	Allosteric	Holo	Thiosulphate	negative												
CueR	CopR,DNA-binding transcriptional dual regulator CueR,YbbI	CueR-Ag		Active	Allosteric	Holo	Ag	positive												
