# From bin/get_pathway_compounds.pl on Sun Jul 26 11:16:24 2020
# Pathway	Enzymes
PWY0-781	HOMOSERKIN-CPLX,THRESYN-MONOMER,ASPAMINOTRANS-DIMER,CPLX0-7997,DIAMINOPIMDECARB-CPLX,CPLX0-3161,ACETYLORNTRANSAM-CPLX,PSERTRANSAM-CPLX,CPLX0-3181,DIHYDRODIPICSYN-CPLX,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,ASPKINIHOMOSERDEHYDROGI-CPLX,ASPKINIIHOMOSERDEHYDROGII-CPLX,ASPKINIII-CPLX,DIHYDROPICRED-CPLX,HOMSUCTRAN-CPLX,HOMOCYSMET-MONOMER,HOMOCYSMETB12-MONOMER,O-SUCCHOMOSERLYASE-CPLX,CYSTATHIONINE-BETA-LYASE-CPLX,CPLX0-8092,NICONUCADENYLYLTRAN-MONOMER,NAD-SYNTH-CPLX,QUINOPRIBOTRANS-CPLX,CPLX0-7719,L-ASPARTATE-OXID-MONOMER,S-ADENMETSYN-CPLX
TCA-GLYOX-BYPASS	MALATE-SYNTHASE,MALSYNG-MONOMER,ISOCIT-LYASE,MALIC-NAD-CPLX,MALATE-DEHASE,FUMARASE-C,FUMARASE-B,FUMARASE-A,G6903-MONOMER,EG11162-MONOMER,SUCCCOASYN,2OXOGLUTARATEDEH-CPLX,ISOCITHASE-CPLX,CITRATE-SI-SYNTHASE,CPLX0-251,CPLX0-7760,CPLX0-7761,CPLX0-8160,EG12069-MONOMER
PWY0-1471	G6523-MONOMER,G6520-MONOMER,G6519-MONOMER,CPLX0-1962,G6522-MONOMER,G6521-MONOMER
THRESYN-PWY	ASPKINIII-CPLX,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,ASPKINIHOMOSERDEHYDROGI-CPLX,ASPKINIIHOMOSERDEHYDROGII-CPLX,HOMOSERKIN-CPLX,THRESYN-MONOMER,ASPAMINOTRANS-DIMER
HOMOSER-THRESYN-PWY	HOMOSERKIN-CPLX,THRESYN-MONOMER
ALL-CHORISMATE-PWY	CHORPYRLY-MONOMER,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,DHHB-METHYLTRANSFER-CPLX,EG11333-MONOMER,CPLX0-301,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,CPLX0-7426,FPPSYN-MONOMER,IPPISOM-MONOMER,AROB-MONOMER,AROG-CPLX,AROH-CPLX,AROF-CPLX,AROC-CPLX,AROA-MONOMER,AROL-MONOMER,AROK-MONOMER,CPLX0-7462,AROE-MONOMER,AROD-CPLX,PRAI-IGPS,ANTHRANSYNCOMPII-MONOMER,ANTHRANSYN-CPLX,TRYPSYN-APROTEIN,TRYPSYN,CPLX0-2401,BRANCHED-CHAINAMINOTRANSFER-CPLX,TYRB-DIMER,ASPAMINOTRANS-DIMER,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMUTPREPHENDEHYDROG-CPLX,ENTB-CPLX,ENTA-CPLX,EG12221-MONOMER,HOLO-ACP-SYNTH-CPLX,ENTE-CPLX,ENTD-MONOMER,ENTMULTI-CPLX,ENTF-PANT,MENE-CPLX,O-SUCCINYLBENZOATE-COA-SYN-MONOMER,ENTC-MONOMER,MENF-CPLX,CPLX0-7525,EG12438-MONOMER,CPLX0-7882,CPLX0-8128,DMK-MONOMER,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,H2PTEROATESYNTH-CPLX,FOLC-MONOMER,DIHYDROFOLATEREDUCT-MONOMER,G6862-MONOMER,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,CPLX0-3936,DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,FOLE-CPLX,PABASYN-CPLX,ADCLY-CPLX
FUC-RHAMCAT-PWY	CPLX0-7633,FUCULOKIN-MONOMER,CPLX0-7631,CPLX0-7645,RHAMNULPALDOL-CPLX,RHAMNULOKIN-MONOMER,CPLX0-7652,CPLX0-7649,ALD-CPLX,L-LACTDEHYDROGFMN-MONOMER,LACTALDREDUCT-CPLX
PWY-6164	AROB-MONOMER,AROG-CPLX,AROH-CPLX,AROF-CPLX
PWY0-162	CARBPSYN-CPLX,ASPCARBTRANS-CPLX,DIHYDROOROT-CPLX,OROPRIBTRANS-CPLX,OROTPDECARB-CPLX,DIHYDROOROTOX-MONOMER,UMPKI-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,CTPSYN-CPLX
GLUCONSUPER-PWY	GLUCONOKINI-MONOMER,GLUCONOKINII-CPLX
PWY0-1313	ACS-MONOMER
GLUCARGALACTSUPER-PWY	GLUCARDEHYDRA-MONOMER,CPLX0-7615,TSA-REDUCT-MONOMER,GALACTARDEHYDRA-MONOMER,GKI-MONOMER,GLY3KIN-MONOMER
ACETATEUTIL-PWY	ACS-MONOMER,ACETATEKINA-MONOMER,GARTRANSFORMYL2-MONOMER,PHOSACETYLTRANS-CPLX,CPLX0-7912
PWY-6703	FOLE-CPLX,CPLX0-8123,G7443-MONOMER,G6245-MONOMER
PWY-1269	CPM-KDOSYNTH-MONOMER,KDO-8PPHOSPHAT-CPLX,KDO-8PSYNTH-CPLX,CPLX0-1262,CPLX0-3929
PRPP-PWY	HISTDEHYD-CPLX,HISTPHOSTRANS-CPLX,IMIDHISTID-CPLX,GLUTAMIDOTRANS-CPLX,PRIBFAICARPISOM-MONOMER,HISTCYCLOPRATPPHOS,CPLX0-7614,PRPPAMIDOTRANS-CPLX,GLYCRIBONUCSYN-MONOMER,FGAMSYN-MONOMER,AIRS-CPLX,GARTRANSFORMYL2-MONOMER,SAICARSYN-CPLX,AICARTRANSIMPCYCLO-CPLX,PURE-CPLX,PURK-CPLX,IMP-DEHYDROG-CPLX,GMP-SYN-CPLX,GUANYL-KIN-CPLX,ADENYLOSUCCINATE-SYN-DIMER,CPLX0-7959,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,CARBPSYN-CPLX,ASPCARBTRANS-CPLX,DIHYDROOROT-CPLX,OROPRIBTRANS-CPLX,OROTPDECARB-CPLX,DIHYDROOROTOX-MONOMER,UMPKI-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,CTPSYN-CPLX,PRPPSYN-MONOMER
PYRUVDEHYD-PWY	E2P-MONOMER,E3-CPLX,PYRUVATEDEH-CPLX,E1P-CPLX
PWY-6038	ACECITLY-CPLX
PWY-5162	CPLX0-7951,MHPELY-MONOMER,G7285-MONOMER,MHPF-MONOMER
PWY-7211	CPLX0-7692,DUTP-PYROP-CPLX,G7164-MONOMER,THYMIDYLATESYN-CPLX,CPLX0-8260,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,CARBPSYN-CPLX,ASPCARBTRANS-CPLX,DIHYDROOROT-CPLX,OROPRIBTRANS-CPLX,OROTPDECARB-CPLX,DIHYDROOROTOX-MONOMER,UMPKI-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,CTPSYN-CPLX
PWY0-1465	G6986-MONOMER
ORNARGDEG-PWY	ARGDECARBOXDEG-CPLX,AGMATIN-CPLX,CPLX0-7687,GABATRANSAM-CPLX,G6646-MONOMER,CPLX0-7688,ORNDECARBOX-BIO-CPLX,ORNDECARBOXDEG-CPLX,CPLX0-3641,CPLX0-8159,CPLX0-3943,ALDHDEHYDROG-MONOMER,EG11822-MONOMER,CPLX0-7709
MET-SAM-PWY	HOMSUCTRAN-CPLX,HOMOCYSMET-MONOMER,HOMOCYSMETB12-MONOMER,O-SUCCHOMOSERLYASE-CPLX,CYSTATHIONINE-BETA-LYASE-CPLX,CPLX0-8092,ASPKINIII-CPLX,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,ASPKINIHOMOSERDEHYDROGI-CPLX,ASPKINIIHOMOSERDEHYDROGII-CPLX,S-ADENMETSYN-CPLX
AST-PWY	ARGSUCCTRAN-MONOMER,CPLX0-7947,SUCCORNTRANSAM-CPLX,SUCCGLUALDDEHYD-MONOMER,SUCCGLUDESUCC-MONOMER
ARGDEG-PWY	CPLX0-3943,EG11822-MONOMER,CPLX0-7709,ARGDECARBOXDEG-CPLX,AGMATIN-CPLX,CPLX0-7687,GABATRANSAM-CPLX,G6646-MONOMER,CPLX0-7688,CPLX0-3641,ALDHDEHYDROG-MONOMER,CPLX0-8159
THREOCAT-PWY	LTAA-CPLX,G7285-MONOMER,ADHE-CPLX,MHPF-MONOMER,AMINEOXID-CPLX,THREODEHYD-CPLX,EG12293-MONOMER,AKBLIG-CPLX,KETOBUTFORMLY-MONOMER,PYRUVFORMLY-CPLX,PHOSACETYLTRANS-CPLX,PROPKIN-MONOMER,ACETATEKINA-MONOMER,DIHYDROXYACIDDEHYDRAT-CPLX,BRANCHED-CHAINAMINOTRANSFER-CPLX,CPLX0-7643,ACETOLACTSYNIII-CPLX,ACETOLACTSYNI-CPLX,ACETOLACTSYNII-CPLX,THREDEHYDSYN-CPLX,THREDEHYDCAT-CPLX
PWY0-823	ARGDECARBOXBIO-CPLX,ARGDECARBOXDEG-CPLX,AGMATIN-CPLX
PWY-6897	CPLX0-8211,THIE-MONOMER,THI-P-KIN-MONOMER,PDXK-CPLX,HMP-P-KIN-CPLX
PWY0-845	PDXK-CPLX,CPLX0-8031,PDXH-CPLX,ERYTH4PDEHYDROG-CPLX,CPLX0-743,CPLX0-321,CPLX0-8212,PSERTRANSAM-CPLX,CPLX0-7847
DETOX1-PWY	SUPEROX-DISMUTMN-CPLX,SUPEROX-DISMUTFE-CPLX,G6886-MONOMER,HYDROPEROXIDII-CPLX,HYDROPEROXIDI-CPLX,CPLX0-1683
PWY-5084	E1O,E2O,E3-CPLX,2OXOGLUTARATEDEH-CPLX
PWY0-1569	CPLX0-7820,G6798-MONOMER,G6805-MONOMER
PWY0-1527	CPLX0-7927
PWY0-1581	ANGLYC3PDEHYDROG-CPLX,NITRATREDUCTA-CPLX,NITRATREDUCTZ-CPLX
PWY0-1585	FORMATEDEHYDROGN-CPLX,FORMATEDEHYDROGO-CPLX,NAPC-MONOMER,CPLX0-8238,CYTOCHROMEC552-MONOMER
PWY0-1336	NADH-DHI-CPLX,FUMARATE-REDUCTASE
PWY0-1352	NADH-DHI-CPLX,NITRATREDUCTA-CPLX,NITRATREDUCTZ-CPLX
PWY0-1573	NADH-DHII-MONOMER,NITRATREDUCTA-CPLX
PWY0-1578	FORMHYDROG2-CPLX,CPLX0-8167,TMAOREDUCTI-CPLX
PWY0-1584	AERGLYC3PDEHYDROG-CPLX,NAP-CPLX,CPLX0-3241
PROUT-PWY-I	PUTA-CPLX
PWY0-1321	FORMATEDEHYDROGN-CPLX,FORMATEDEHYDROGO-CPLX,NITRATREDUCTA-CPLX,NITRATREDUCTZ-CPLX
PWY0-1348	NADH-DHI-CPLX,DIMESULFREDUCT-CPLX
PWY0-1356	FORMATEDEHYDROGN-CPLX,FORMATEDEHYDROGO-CPLX,DIMESULFREDUCT-CPLX
PWY-7335	CPLX0-8013,CPLX0-8008
PWY0-1577	DIMESULFREDUCT-CPLX,FORMHYDROG2-CPLX,CPLX0-8167
PWY0-1582	ANGLYC3PDEHYDROG-CPLX,FUMARATE-REDUCTASE
PWY-7343	CPLX0-8205,PHOSPHOGLUCMUT-MONOMER
PWY0-1347	NADH-DHI-CPLX,TMAOREDUCTI-CPLX
PWY0-1355	FORMATEDEHYDROGN-CPLX,FORMATEDEHYDROGO-CPLX,TMAOREDUCTI-CPLX
PWY-7344	UDPGLUCEPIM-CPLX
PWY0-1576	FORMHYDROG2-CPLX,FUMARATE-REDUCTASE
PWY-7870	RED-GLUTAREDOXIN,ACSERLYB-CPLX,CPLX0-237
PWY-7346	CPLX0-8098
CYSTSYN-PWY	CPLX0-237,ACSERLYA-CPLX,ACSERLYB-CPLX
PWY0-541	CFA-CPLX
LCYSDEG-PWY	CYSTATHIONINE-BETA-LYASE-CPLX,CPLX0-8092,ACSERLYA-CPLX,ACSERLYB-CPLX,TRYPTOPHAN-CPLX,G7622-MONOMER
PWY-7176	UMPKI-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,CTPSYN-CPLX
PWY-5852	DMK-MONOMER
GLYOXDEG-PWY	MALSYNG-MONOMER,CPLX0-7458
GLYCOLATEMET-PWY	GLYOCARBOLIG-CPLX,CPLX0-7458,CPLX0-7616,GKI-MONOMER,GLY3KIN-MONOMER
PWY-7187	DCTP-DEAM-CPLX,CPLX0-7692,DUTP-PYROP-CPLX,G7164-MONOMER,THYMIDYLATESYN-CPLX,CPLX0-8260,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX
PWY-7222	RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER
PWY-7183	URACIL-PRIBOSYLTRANS-CPLX
GLUTORN-PWY	N-ACETYLTRANSFER-CPLX,ACETYLGLUTKIN-CPLX,N-ACETYLGLUTPREDUCT-MONOMER,ACETYLORNTRANSAM-CPLX,GABATRANSAM-CPLX,ACETYLORNDEACET-CPLX
RHAMCAT-PWY	RHAMNULPALDOL-CPLX,RHAMNULOKIN-MONOMER,CPLX0-7652,CPLX0-7649
PWY0-1535	DSERDEAM-MONOMER
PWY-7195	CPLX0-8280,CPLX0-7904,EG11082-MONOMER,CPLX0-7932
BSUBPOLYAMSYN-PWY	SPERMIDINESYN-CPLX,SAMDECARB-CPLX
PWY-7205	CMPKI-MONOMER,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER
NONMEVIPP-PWY	CPLX0-743,DXPREDISOM-CPLX,CPLX0-7564,CPLX0-234,CPLX0-3841,CPLX0-721,IPPISOM-MONOMER,EG10370-MONOMER
PWY0-181	CYTIDEAM-CPLX,DEOA-CPLX,EG12159-MONOMER,CPLX0-8261
PWY-6556	CYTIDEAM-CPLX,EG11082-MONOMER,CPLX0-8280,CPLX0-7904
PWY0-1533	CPLX0-7958,EG10722-MONOMER,EG10719-MONOMER,CPLX0-7936
MENAQUINONESYN-PWY	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER
PWY-7194	CPLX0-7932,URACIL-PRIBOSYLTRANS-CPLX
PWY-5838	CPLX0-7426,MENE-CPLX,O-SUCCINYLBENZOATE-COA-SYN-MONOMER,ENTC-MONOMER,MENF-CPLX,CPLX0-7525,EG12438-MONOMER,CPLX0-7882,CPLX0-8128,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,DMK-MONOMER
PWY0-1317	ALD-CPLX,L-LACTDEHYDROGFMN-MONOMER
PHESYN	TYRB-DIMER,ASPAMINOTRANS-DIMER,BRANCHED-CHAINAMINOTRANSFER-CPLX,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMUTPREPHENDEHYDROG-CPLX
PWY0-163	URACIL-PRIBOSYLTRANS-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,URPHOS-CPLX,EG12159-MONOMER,CYTIDEAM-CPLX,CPLX0-7932,UDK-MONOMER,CMPKI-MONOMER
PWY0-1315	LACTALDREDUCT-CPLX
PWY0-44	RIB5PISOMB-CPLX,EG11957-MONOMER,EG11956-MONOMER
PWY-7193	CYTIDEAM-CPLX,UDK-MONOMER
LYXMET-PWY	CPLX0-7652,LYXK-CPLX,EG12286-MONOMER,RIBULPEPIM-CPLX,EG12287-MONOMER
ETOH-ACETYLCOA-ANA-PWY	CPLX0-8015,G7285-MONOMER,ADHE-CPLX,MHPF-MONOMER
PWY0-1300	EG13236-MONOMER,GKI-MONOMER,GLY3KIN-MONOMER
PWY-7196	EG11082-MONOMER,CPLX0-8280,CPLX0-7904,CYTIDEAM-CPLX,UDK-MONOMER,URACIL-PRIBOSYLTRANS-CPLX,UMPKI-CPLX,CTPSYN-CPLX,CMPKI-MONOMER,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER
PWY0-1314	1-PFK
GLUCOSE1PMETAB-PWY	EG11470-MONOMER,EG11195-MONOMER,G6425-MONOMER,EG11850-MONOMER,GLUCONOLACT-MONOMER,PHOSPHOGLUCMUT-MONOMER,GLUCOKIN-MONOMER,GLUCDEHYDROG-MONOMER
PWY-7208	UMPKI-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,CTPSYN-CPLX,URACIL-PRIBOSYLTRANS-CPLX
PWY-7180	PPENTOMUT-MONOMER,DEOXYRIBOSE-P-ALD-MONOMER,G7285-MONOMER,ADHE-CPLX,MHPF-MONOMER
PWY0-1309	EG12198-MONOMER,CPLX0-7979
PWY-5669	PHOSPHASERSYN-MONOMER,PHOSPHASERDECARB-DIMER
RIBOKIN-PWY	CPLX0-7647,CPLX0-7646
THIOREDOX-PWY	THIOREDOXIN-REDUCT-NADPH-CPLX
FUCCAT-PWY	CPLX0-7633,FUCULOKIN-MONOMER,CPLX0-7631,CPLX0-7645
MANNCAT-PWY	MANNPISOM-MONOMER
GLUTATHIONESYN-PWY	GLUTCYSLIG-MONOMER,GLUTATHIONE-SYN-CPLX
PWY-5971	3-OXOACYL-ACP-SYNTHII-CPLX,FABB-CPLX,CPLX0-8005,FABZ-CPLX,CPLX0-8006
PWY0-1301	ALPHAGALACTOSID-CPLX
DARABCATK12-PWY	CPLX0-7631,FUCULOKIN-MONOMER,CPLX0-7633,ALD-CPLX
GLUT-REDOX-PWY	GRXC-MONOMER,GRXB-MONOMER
PWY-7884	EG12128-MONOMER,EG10168-MONOMER,EG10548-MONOMER,CPLX0-2941,EG12436-MONOMER
PWY0-1599	DSBBPROT-MONOMER
GALACTCAT-PWY	DEHYDDEOXGALACTKIN-MONOMER,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER,GALACTONATE-DEHYDRATASE-MONOMER
PWY0-1600	
PWY-7242	MANNONOXIDOREDUCT-MONOMER,MANNONDEHYDRAT-MONOMER,DEOXYGLUCONOKIN-MONOMER,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX
KETOGLUCONMET-PWY	CPLX0-8292,GLUCONOKINI-MONOMER,GLUCONOKINII-CPLX,IDONDEHYD-MONOMER,MONOMER0-149,MONOMER0-148,CPLX0-235
IDNCAT-PWY	CPLX0-8292,GLUCONOKINI-MONOMER,IDONDEHYD-MONOMER
METSYN-PWY	HOMSUCTRAN-CPLX,HOMOCYSMET-MONOMER,HOMOCYSMETB12-MONOMER,O-SUCCHOMOSERLYASE-CPLX,CYSTATHIONINE-BETA-LYASE-CPLX,CPLX0-8092,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,ASPKINIIHOMOSERDEHYDROGII-CPLX
PWY0-1306	G7945-MONOMER
HOMOSER-METSYN-PWY	HOMSUCTRAN-CPLX,HOMOCYSMET-MONOMER,HOMOCYSMETB12-MONOMER,O-SUCCHOMOSERLYASE-CPLX,CYSTATHIONINE-BETA-LYASE-CPLX,CPLX0-8092
GALACTARDEG-PWY	CPLX0-7615,TSA-REDUCT-MONOMER,GALACTARDEHYDRA-MONOMER,GKI-MONOMER,GLY3KIN-MONOMER
GALACTUROCAT-PWY	ALTRODEHYDRAT-MONOMER,DEOXYGLUCONOKIN-MONOMER,ALTRO-OXIDOREDUCT-MONOMER,UXAC-MONOMER,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX
PWY-5188	UROGENIIISYN-MONOMER,OHMETHYLBILANESYN-MONOMER,PORPHOBILSYNTH-CPLX,GSAAMINOTRANS-CPLX,CPLX0-3741,GLURS-MONOMER
GLUCARDEG-PWY	CPLX0-7615,TSA-REDUCT-MONOMER,GLUCARDEHYDRA-MONOMER,GKI-MONOMER,GLY3KIN-MONOMER
GLUCUROCAT-PWY	MANNONOXIDOREDUCT-MONOMER,MANNONDEHYDRAT-MONOMER,DEOXYGLUCONOKIN-MONOMER,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,UXAC-MONOMER,CPLX0-7662
PWY-7247	UXAC-MONOMER,CPLX0-7662
PWY-7446	EG11846-MONOMER,CPLX0-7794,EG11848-MONOMER,CPLX0-7683,EG11843-MONOMER
GLUTDEG-PWY	ASPAMINOTRANS-DIMER,ASPARTASE-CPLX
ASPARTATESYN-PWY	ASPAMINOTRANS-DIMER
GLYCOCAT-PWY	AMYLOMALT-MONOMER,GLYCOPHOSPHORYL-CPLX,EG10381-MONOMER,MALTODEXGLUCOSID-MONOMER,MALDEXPHOSPHORYL-CPLX,PHOSPHOGLUCMUT-MONOMER,GLUCOKIN-MONOMER
NADPHOS-DEPHOS-PWY	CPLX0-682,PYRNUTRANSHYDROGEN-CPLX,NADPPHOSPHAT-MONOMER
PYRIDNUCSAL-PWY	NICONUCADENYLYLTRAN-MONOMER,NICOTINATEPRIBOSYLTRANS-MONOMER,NMNNUCLEOSID-MONOMER,NAD-SYNTH-CPLX,NICOTINAMID-MONOMER
PWY3O-4106	CPLX0-7975
LEUSYN-PWY	3-ISOPROPYLMALDEHYDROG-CPLX,G6986-MONOMER,BRANCHED-CHAINAMINOTRANSFER-CPLX,TYRB-DIMER,2-ISOPROPYLMALATESYN-MONOMER,3-ISOPROPYLMALISOM-CPLX
PWY-7761	NICONUCADENYLYLTRAN-MONOMER,CPLXECOLI-7943,NAD-SYNTH-CPLX
PYRIDNUCSYN-PWY	NICONUCADENYLYLTRAN-MONOMER,NAD-SYNTH-CPLX,QUINOPRIBOTRANS-CPLX,CPLX0-7719,L-ASPARTATE-OXID-MONOMER
PWY-5453	G7558-MONOMER,MONOMER0-149,MONOMER0-148,G6967-MONOMER,CPLX0-7667,GLYCDEH-CPLX
PWY-5386	GLYOXI-CPLX,GLYOXII-MONOMER,CPLX0-3954,G6475-MONOMER,DLACTDEHYDROGFAD-MONOMER
PWY-5459	ALD-CPLX,L-LACTDEHYDROGFMN-MONOMER,METHYLGLYREDUCT-MONOMER
P2-PWY	G6340-MONOMER,G6339-MONOMER,CITC-MONOMER
PWY-5964	EG11829-MONOMER
PWY0-1325	ASNSYNB-CPLX,ASNSYNA-CPLX
PWY-6012	EG11095-MONOMER,HOLO-ACP-SYNTH-CPLX,EG12221-MONOMER
ASPARAGINESYN-PWY	ASNSYNB-CPLX,ASNSYNA-CPLX
PWY-7219	ADENYLOSUCCINATE-SYN-DIMER,CPLX0-7959,ADENYL-KIN-MONOMER
ASPARAGINE-BIOSYNTHESIS	ASNSYNB-CPLX
PWY-7221	IMP-DEHYDROG-CPLX,GMP-SYN-CPLX,GUANYL-KIN-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER
PWY-6476	G7496-MONOMER
PWY-6123	SAICARSYN-CPLX,CPLX0-7959,AICARTRANSIMPCYCLO-CPLX,PURE-CPLX,PURK-CPLX
PWY0-1433	G6862-MONOMER,FOLXTET-CPLX,FOLE-CPLX
SAM-PWY	S-ADENMETSYN-CPLX
PWY0-1507	DETHIOBIOTIN-SYN-CPLX,BIOTIN-SYN-CPLX,DAPASYN-CPLX
BIOTIN-BIOSYNTHESIS-PWY	EG10122-MONOMER,CPLX0-8006,FABZ-CPLX,CPLX0-8005,EG10119-MONOMER,FABB-CPLX,7KAPSYN-CPLX,DETHIOBIOTIN-SYN-CPLX,BIOTIN-SYN-CPLX,DAPASYN-CPLX
PWY0-1221	CPLX0-3943,ALDHDEHYDROG-MONOMER,EG11822-MONOMER,CPLX0-7709
PUTDEG-PWY	CPLX0-3641,ALDHDEHYDROG-MONOMER,CPLX0-8159
PWY0-901	CPLX0-7957,CPLX0-1141,SERS-CPLX
ASPARAGINE-DEG1-PWY	ANSB-CPLX,ANSA-CPLX,CPLX0-263
PWY-6823	EG11595-MONOMER,CPLX0-2502,CPLX0-8163,CPLX0-8045,CPLX0-8164,G6952-MONOMER,CPLX0-248,CPLX0-246,CPLX-8331
PWY-6147	H2PTERIDINEPYROPHOSPHOKIN-MONOMER,CPLX0-3936,DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,FOLE-CPLX
PANTO-PWY	PANTOATE-BETA-ALANINE-LIG-CPLX,2-DEHYDROPANTOATE-REDUCT-MONOMER,CPLX0-7643,3-METHYL-2-OXOBUT-OHCH3XFER-CPLX,PANTOTHENATE-KIN-CPLX
PWY-6608	G7502-MONOMER,APHA-CPLX,EG10634-MONOMER,EG11817-MONOMER,G7742-MONOMER,CPLX0-761,DEOD-CPLX,XANTHOSINEPHOSPHORY-CPLX,EG12159-MONOMER
PWY-5340	SULFATE-ADENYLYLTRANS-CPLX,ADENYLYLSULFKIN-CPLX
PWY0-461	LYSDECARBOX-CPLX,LDC2-CPLX,CPLX0-8159,CPLX0-3641,CPLX0-7687,CPLX0-7688,G6646-MONOMER,GABATRANSAM-CPLX,CPLX0-8201,EG12387-MONOMER
HISTSYN-PWY	HISTDEHYD-CPLX,HISTPHOSTRANS-CPLX,IMIDHISTID-CPLX,GLUTAMIDOTRANS-CPLX,PRIBFAICARPISOM-MONOMER,HISTCYCLOPRATPPHOS,CPLX0-7614
GLUCONEO-PWY	CPLX0-7877,F16B-CPLX,CPLX0-303,EG11239-MONOMER,CPLX0-7776,FRUCBISALD-CLASSII,FRUCBISALD-CLASSI,GAPDH-A-CPLX,PGK,PGMI-MONOMER,ENOLASE-CPLX,PEPCARBOXYKIN-MONOMER,MALATE-DEHASE,PEPSYNTH-CPLX,MALIC-NAD-CPLX,MALIC-NADP-CPLX,TPI
MANNIDEG-PWY	MANNPDEHYDROG-MONOMER
HEXITOLDEGSUPER-PWY	MANNPDEHYDROG-MONOMER,SORB6PDEHYDROG-CPLX,CPLX0-240,CPLX0-241,CPLX0-8186,CPLX0-231,PKII-CPLX,PKI-COMPLEX,ENOLASE-CPLX,PGMI-MONOMER,PGK,GAPDH-A-CPLX,TPI,FRUCBISALD-CLASSII,FRUCBISALD-CLASSI,6PFK-2-CPX,6PFK-1-CPX,PEPSYNTH-CPLX,F16B-CPLX,CPLX0-303,EG11239-MONOMER,CPLX0-7776,ALKAPHOSPHA-CPLX,PHOSGLYCMUTASE
PWY-5785	UPPSYN-CPLX,EG11665-MONOMER,G6439-MONOMER,PGPPHOSPHAB-MONOMER
GALACTITOLCAT-PWY	6PFK-2-CPX,CPLX0-240,CPLX0-241,CPLX0-8186,CPLX0-231
PWY-5783	CPLX0-7426
SORBDEG-PWY	SORB6PDEHYDROG-CPLX
POLYISOPRENSYN-PWY	FPPSYN-MONOMER,IPPISOM-MONOMER,UPPSYN-CPLX,EG11665-MONOMER,G6439-MONOMER,PGPPHOSPHAB-MONOMER,CPLX0-7426
FAO-PWY	FADA-CPLX,G7213-MONOMER,ACYLCOASYN-CPLX,EG12357-MONOMER,ACYLCOADEHYDROG-MONOMER,G7212-MONOMER,FADB-CPLX
PWY-5123	FPPSYN-MONOMER,IPPISOM-MONOMER
